ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,System.String,string
Id,1,System.String,string
WorkspaceId,2,System.String,string
VendorName,3,System.String,string
TimeGenerated,4,System.DateTime,datetime
AnomalyTemplateId,5,System.String,string
AnomalyTemplateName,6,System.String,string
AnomalyTemplateVersion,7,System.String,string
RuleId,8,System.String,string
RuleStatus,9,System.String,string
RuleName,10,System.String,string
RuleConfigVersion,11,System.String,string
Score,12,System.Double,real
Description,13,System.String,string
StartTime,14,System.DateTime,datetime
EndTime,15,System.DateTime,datetime
ExtendedLinks,16,System.Object,dynamic
Tactics,17,System.String,string
Techniques,18,System.String,string
UserName,19,System.String,string
UserPrincipalName,20,System.String,string
SourceIpAddress,21,System.String,string
SourceLocation,22,System.Object,dynamic
SourceDevice,23,System.String,string
DestinationIpAddress,24,System.String,string
DestinationLocation,25,System.Object,dynamic
DestinationDevice,26,System.String,string
ActivityInsights,27,System.Object,dynamic
DeviceInsights,28,System.Object,dynamic
UserInsights,29,System.Object,dynamic
AnomalyReasons,30,System.Object,dynamic
Entities,31,System.Object,dynamic
ExtendedProperties,32,System.Object,dynamic
AnomalyDetails,33,System.Object,dynamic
SourceSystem,34,System.String,string
Type,35,System.String,string
