ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,System.String,string
TimeGenerated,1,System.DateTime,datetime
DisplayName,2,System.String,string
AlertName,3,System.String,string
AlertSeverity,4,System.String,string
Description,5,System.String,string
ProviderName,6,System.String,string
VendorName,7,System.String,string
VendorOriginalId,8,System.String,string
SystemAlertId,9,System.String,string
ResourceId,10,System.String,string
SourceComputerId,11,System.String,string
AlertType,12,System.String,string
ConfidenceLevel,13,System.String,string
ConfidenceScore,14,System.Double,real
IsIncident,15,System.SByte,bool
StartTime,16,System.DateTime,datetime
EndTime,17,System.DateTime,datetime
ProcessingEndTime,18,System.DateTime,datetime
RemediationSteps,19,System.String,string
ExtendedProperties,20,System.String,string
Entities,21,System.String,string
SourceSystem,22,System.String,string
WorkspaceSubscriptionId,23,System.String,string
WorkspaceResourceGroup,24,System.String,string
ExtendedLinks,25,System.String,string
ProductName,26,System.String,string
ProductComponentName,27,System.String,string
AlertLink,28,System.String,string
Status,29,System.String,string
CompromisedEntity,30,System.String,string
Tactics,31,System.String,string
Techniques,32,System.String,string
Type,33,System.String,string
