ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,System.String,string
TimeGenerated,1,System.DateTime,datetime
IncidentName,2,System.String,string
Title,3,System.String,string
Description,4,System.String,string
Severity,5,System.String,string
Status,6,System.String,string
Classification,7,System.String,string
ClassificationComment,8,System.String,string
ClassificationReason,9,System.String,string
Owner,10,System.Object,dynamic
ProviderName,11,System.String,string
ProviderIncidentId,12,System.String,string
FirstActivityTime,13,System.DateTime,datetime
LastActivityTime,14,System.DateTime,datetime
FirstModifiedTime,15,System.DateTime,datetime
LastModifiedTime,16,System.DateTime,datetime
CreatedTime,17,System.DateTime,datetime
ClosedTime,18,System.DateTime,datetime
IncidentNumber,19,System.Int32,int
RelatedAnalyticRuleIds,20,System.Object,dynamic
AlertIds,21,System.Object,dynamic
BookmarkIds,22,System.Object,dynamic
Comments,23,System.Object,dynamic
Labels,24,System.Object,dynamic
IncidentUrl,25,System.String,string
AdditionalData,26,System.Object,dynamic
ModifiedBy,27,System.String,string
SourceSystem,28,System.String,string
Type,29,System.String,string
